"","PLAYER","TEAM","YEAR","HT","POS","AGE","Pos","Numb","G","X2PA","X3PA","FTA","Poss","Ast.Pos","Tov.Pos","Stl.G","Blk.G","TS","FTA.G","Three.G","Two.G","Three.Per","Two.Per","FTA.FGA","Three.FGA","OR.G","DR.G","PF.G","adjTempo","adjOE","adjDE"
"57","Esa Ahmad","West Virginia","Junior","8-Jun","PF",21.5,"F",3,89,158.666666666667,33.6666666666667,106.166666666667,10.6118207282913,0.175893883801205,0.171938284917677,0.917366946778711,0.489495798319328,1.0879981396986,3.81442577030812,1.31792717086835,5.84103641456583,0.321393762183236,0.493470328873354,0.548126414533985,0.180972277694143,1.69397759103641,2.93137254901961,1.98529411764706,69.4864,114.8105,94.44905
"58","Ethan Happ","Wisconsin","Junior","10-Jun","PF/C",21.9,"F",3,105,398,5.5,177.5,16.4928143208143,0.178496964163806,0.152151016886709,1.64602784602785,1.07007137007137,1.12491517962033,5.15339885339885,0.166666666666667,11.5669357669358,0.0454545454545454,0.554574411760293,0.446085815089468,0.0120087336244541,2.65491985491985,5.65988065988066,2.74186264186264,63.0460666666667,109.1995,98.0883
"59","Eugene German","Northern Illinois","Sophomore","10-Jun","G",20.3,"G",2,63,280,141,120.333333333333,16.7581182795699,0.084992217827261,0.116861332426866,0.690860215053763,0.136424731182796,1.11175891497206,3.78494623655914,4.42540322580645,8.80846774193548,0.319432460933755,0.540523281902592,0.291385616967012,0.318685190778214,0.356854838709677,2.65725806451613,1.5241935483871,66.9524,101.9488,107.908666666667
"60","Fletcher Magee","Wofford","Junior","4-Jun","SG",21.4,"G",3,99,169.333333333333,288.5,109.666666666667,16.7567557932264,0.104021780054133,0.0988318117669153,0.760806595365419,0.110247697563874,1.29462042958762,3.29022764408794,8.62223336304219,5.06294563279857,0.440289634281101,0.511350485518743,0.248032803597823,0.631645495569232,0.295863042186572,2.79104463755199,1.61141748366013,66.1831833333333,108.85,107.723166666667
"61","Fred Sims","Chicago State","Junior","4-Jun","SG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Gary Clark","Cincinnati","Senior","7-Jun","PF",23.3,"F",4,139,229,45,129.1,10.4930831847891,0.197891736155307,0.107800824282687,1.2180926916221,1.26821152703506,1.1962785647079,3.65595662507427,1.26344325609032,6.50470885323826,0.363907834101382,0.551612311306858,0.466178482976093,0.157796901001834,3.05020796197267,5.26700831847891,2.01109625668449,63.62532,112.4389,91.0175
"63","Gary Trent Jr.","Duke","Freshman","5-Jun","SG",19.2,"G",1,37,186,241,97,13.7210810810811,0.102426725496376,0.0748502994011976,1.16216216216216,0.135135135135135,1.14120252086527,2.62162162162162,6.51351351351351,5.02702702702703,0.402489626556017,0.43010752688172,0.227166276346604,0.56440281030445,0.837837837837838,3.40540540540541,1.67567567567568,69.67,118.735,97.7427
"64","Grayson Allen","Duke","Senior","4-Jun","SG",22.4,"G",4,142,168.1,225.4,154.2,14.8378213945037,0.238616742095776,0.13104726709767,1.21098619628031,0.0813321725086431,1.18174701841212,4.32734272087213,6.29117874176698,4.69275948217125,0.375234264364699,0.484943919020352,0.399180075579521,0.574787109905781,0.578205011734424,2.88877961995609,2.20673379261615,68.46621,120.6157,97.3436
"65","Haanif Cheatham","Marquette","Junior","9-Jun","SG",21.6,"G",2,65,173,51.6666666666667,109.333333333333,10.3841161616162,0.217387542885157,0.18582872017997,0.83270202020202,0.0934343434343434,1.15151335001551,3.37815656565657,1.59090909090909,5.34532828282828,0.345555555555556,0.503364167116988,0.490000735240056,0.224646472073132,0.589646464646465,3.09406565656566,1.69760101010101,70.1121333333333,116.517666666667,102.826333333333
"66","Hamidou Diallo","Kentucky","Freshman","5-Jun","SG",19.6,"G",1,37,236,77,126,11.3362162162162,0.109670036238795,0.121590692351707,0.756756756756757,0.351351351351351,1.00694821409185,3.40540540540541,2.08108108108108,6.37837837837838,0.337662337662338,0.457627118644068,0.402555910543131,0.246006389776358,0.864864864864865,2.75675675675676,2.59459459459459,68.7603,109.639,100.541
"67","Isaac Copeland","Nebraska","Junior","8-Jun","PF",22.8,"F",1,33,226,111,92,12.4387878787879,0.0925745468719548,0.0803936854414344,0.818181818181818,1,1.12058917028717,2.78787878787879,3.36363636363636,6.84848484848485,0.369369369369369,0.52212389380531,0.27299703264095,0.329376854599407,1.66666666666667,4.42424242424242,1.6969696969697,67.3906,105.657,100.268
"68","Isaac Haas","Purdue","Senior","2-Jul","C",22.5,"C",4,139,260.7,0,167,11.2805344537815,0.0512630105198897,0.151969847187513,0.16890756302521,0.976386554621849,1.28448048672193,4.78310924369748,0,7.46285714285714,0,0.595078763107276,0.645478878873139,0,1.60731092436975,3.3272268907563,2.14327731092437,67.59011,116.6883,95.3
"69","Isaiah Moss","Iowa","Sophomore","3-Jun","F",21.5,"G",2,67,161,111.666666666667,54.3333333333333,10.1036363636364,0.147737617006199,0.119805668368059,0.630718954248366,0.268865121806298,1.06106800940305,1.63725490196078,3.35977421271539,4.84224598930481,0.376559411555037,0.445347786811201,0.193976070341274,0.408140129015776,0.43166963755199,1.60249554367201,1.34105763517528,70.6112,111.833333333333,107.778
"70","Isaiah Reese","Canisius","Sophomore","5-Jun","PG",21.3,"G",2,67,179,180.666666666667,73,14.1279857397504,0.295235109457699,0.169763171144145,1.92572786690434,0.169637551990493,1.12875026477506,2.1969696969697,5.45098039215686,5.38413547237077,0.32703823953824,0.560899207665377,0.20869939707149,0.480512489233419,0.60873440285205,4.46494355317885,2.16963755199049,69.1370333333333,108.614,104.004
"71","Ismaila Kane","Atlanta Metro","Freshman","9-Jun","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
