,,247Sports,AS,College,DT,Draft,ESPN,FS,From,HM,HS,High School,MP,PS,Pk,Player,PrepStars,RC,RH,RH/PS,RSCI,Rd,Rivals,SC,SI,SN,SS,Scout,Tm,To,VC,WS
7,,3,,University of Kansas,,2015,11,,2016,,,"Findlay Prep (Henderson, NV)",,,15,Kelly Oubre (college),6,,,,8,1,6,,,,,7,ATL,2018,10,6.2
8,,9,,University of North Carolina,,2017,8,,2018,,,"Homeschool Christian Youth Association (Houston, TX)",,,15,Justin Jackson (college),11,,,,9,1,11,,,,,10,POR,2018,7,1.0
9,,13,,"University of Nevada, Las Vegas",,2015,19,,2016,,,"Findlay Prep (Henderson, NV)",,,17,Rashad Vaughn (college),4,,,,10,1,8,,,,,8,MIL,2018,8,-0.4
10,,11,,"University of California, Los Angeles",,2015,12,,2016,,,"Hamilton (Milwaukee, WI)",,,30,Kevon Looney (college),12,,,,11,1,10,,,,,15,GSW,2018,11,4.3
11,,17,,University of Kentucky,,2015,6,,2016,,,"Arsenal Tech (Indianapolis, IN)",,,12,Trey Lyles (college),13,,,,12,1,13,,,,,11,UTA,2018,15,6.9
12,,15,,Duke University,,2015,15,,2016,,,"St. John's (Houston, TX)",,,10,Justise Winslow (college),15,,,,13,1,12,,,,,12,MIA,2018,9,5.0
13,,10,,Seton Hall University,,2016,14,,2017,,,"Abraham Lincoln (Brooklyn, NY)",,,42,Isaiah Whitehead (college),16,,,,14,2,16,,,,,14,UTA,2018,16,-0.9
14,,14,,North Carolina,,,10,,,,,,,,,Theo Pinson (college),14,,,,15,,17,,,,,19,,,20,
15,,30,,Ohio State University,,2015,13,,2016,,,"Montverde Academy (Montverde, FL)",,,2,D'Angelo Russell (college),20,,,,16,1,18,,,,,13,LAL,2018,23,1.7
16,,18,,University of Connecticut,,2016,30,,2018,,,"St. John Bosco (Bellflower, CA)",,,56,Daniel Hamilton (college),18,,,,17,2,14,,,,,21,DEN,2018,17,0.1
