,,247Sports,AS,College,DT,Draft,ESPN,FS,From,HM,HS,High School,MP,PS,Pk,Player,PrepStars,RC,RH,RH/PS,RSCI,Rd,Rivals,SC,SI,SN,SS,Scout,Tm,To,VC,WS
36,,,,Villanova,33,,,,,42,31,,,32,,Scottie Reynolds (college),,76,43,,37,,,,,,,,,,,
37,,,,UCLA,30,,,,,36,69,,,41,,James Keefe (college),,50,33,,38,,,,,,,,,,,
38,,,,,55,,,,2016,44,65,"Harvard-Westlake (North Hollywood, CA)",,29,,Alex Stepheson,,41,34,,39,,,,,,,,,2016,,0.2
39,,,,Southern California,,,,,,19,,,,15,,Davon Jefferson (college),,15,20,,40,,,,,,,,,,,
40,,,,Memphis,40,,,,,46,39,,,46,,Willie Kemp (college),,53,52,,41,,,,,,,,,,,
41,,,,Detroit Mercy,50,,,,,45,86,,,51,,Jason Bennett (college),,30,54,,42,,,,,,,,,,,
42,,,,North Carolina,36,,,,,40,87,,,43,,Deon Thompson (college),,72,39,,43,,,,,,,,,,,
43,,,,Syracuse,41,,,,,43,93,,,49,,Mike Jones (college),,40,55,,44,,,,,,,,,,,
44,,,,University of Louisville,44,,,,2012,39,29,"East (Wauwatosa, WI)",,45,,Jerry Smith (college),,82,85,,45,,,,,,,,,2012,,-0.0
45,,,,University of Southern California,75,2009,,,2010,41,,"Calvary Christian (San Fernando, CA)",,40,26,Taj Gibson (college),,32,40,,46,1,,,,,,,CHI,2018,,48.8
46,,,,California,73,,,,2015,63,53,"Dominguez (Compton, CA)",,48,,Patrick Christopher (college),,44,50,,47,,,,,,,,,2015,,-0.1
47,,,,Central Florida,49,,,,,60,67,,,52,,Tom Herzog (college),,54,49,,T47,,,,,,,,,,,
48,,,,San Diego State,37,,,,,58,,,,37,,Brian Carlwell (college),,77,30,,49,,,,,,,,,,,
49,,,,Virginia Commonwealth,54,,,,,54,55,,,39,,Jamie Skeen (college),,85,59,,50,,,,,,,,,,,
50,,,,Florida State,72,,,,,64,,,,50,,Jon Kreft (college),,29,31,,51,,,,,,,,,,,
51,,,,Nevada-Las Vegas,60,,,,,49,45,,,83,,Derrick Jasper (college),,38,73,,52,,,,,,,,,,,
52,,,,Arkansas,76,,,,,48,,,,47,,Mike Washington (college),,35,46,,53,,,,,,,,,,,
53,,,,Tennessee,57,,,,,51,61,,,86,,Wayne Chism (college),,34,66,,54,,,,,,,,,,,
54,,,,Connecticut,62,,,,,65,51,,,61,,Doug Wiggins (college),,84,41,,55,,,,,,,,,,,
55,,,,Louisville,64,,,,,66,33,"Rice (New York, NY)",,71,,Edgar Sosa (college),,74,56,,T55,,,,,,,,,,,
56,,,,Kentucky,48,,,,,52,57,,,79,,Perry Stevenson (college),,63,67,,57,,,,,,,,,,,
57,,,,University of Kentucky,45,2009,,,2010,47,56,"Norcross (Norcross, GA)",,,41,Jodie Meeks (college),,39,78,,T57,2,,,,,,,MIL,2018,,24.9
58,,,,Massachusetts,58,,,,,81,63,,,38,,Anthony Gurley (college),,79,48,,59,,,,,,,,,,,
59,,,,Tennessee,,,,,,31,,,,55,,Tyler Smith (college),,43,47,,60,,,,,,,,,,,
60,,,,University of Florida,56,2008,,,2009,57,60,"Hargrave Military Academy (Chatham, VA)",,92,16,Marreese Speights (college),,51,62,,T60,1,,,,,,,PHI,2018,,28.6
61,,,,Wisconsin,42,,,,,50,47,,,97,,Jason Bohannon (college),,88,61,,62,,,,,,,,,,,
62,,,,Texas A&M,74,,,,,73,41,,,53,,Bryan Davis (college),,59,86,,63,,,,,,,,,,,
63,,,,University of Connecticut,39,2009,,,2010,67,,,,59,2,Hasheem Thabeet (college),,,57,,64,1,,,,,,,MEM,2014,,5.5
64,,,,Gonzaga,65,,,,,71,80,,,,,Matt Bouldin (college),,45,68,,65,,,,,,,,,,,
65,,,,Virginia,67,,,,,72,95,,,82,,Jamil Tucker (college),,60,63,,66,,,,,,,,,,,
66,,,,Oklahoma,78,,,,,56,82,,,78,,Keith Clark (college),,57,90,,67,,,,,,,,,,,
67,,,,Michigan State,61,,,,,68,50,,,69,,Isaiah Dahlman (college),,,92,,T67,,,,,,,,,,,
68,,,,Baylor,63,,,,,77,35,,,75,,Tweety Carter (college),,91,,,69,,,,,,,,,,,
69,,,,Virginia Tech,87,,,,,79,43,,,58,,Nigel Munson (college),,,76,,70,,,,,,,,,,,
70,,,,Portland State,,,,,,,90,,,63,,Phil Nelson (college),,61,42,,71,,,,,,,,,,,
71,,,,Memphis,,,,,,70,32,,,60,,Pierre Niles (college),,,,,72,,,,,,,,,,,
72,,,,Seton Hall,97,,,,,75,,,,73,,Eugene Harvey (college),,67,53,,73,,,,,,,,,,,
73,,,,Southern California,,,,,,,21,,,57,,Mamadou Diarra (college),,,87,,74,,,,,,,,,,,
74,,,,Villanova,,,,,,95,,,,56,,Antonio Pena (college),,75,44,,75,,,,,,,,,,,
75,,,,University of Arkansas,59,2009,,,2013,55,,"Marshall (Chicago, IL)",,94,42,Patrick Beverley (college),,65,,,76,2,,,,,,,LAL,2018,,19.9
76,,,,Mississippi State University,53,2010,,,2013,61,,"Haywood (Brownsville, TN)",,,41,Jarvis Varnado (college),,62,100,,77,2,,,,,,,MIA,2014,,1.5
77,,,,Georgia State,91,,,,,80,37,,,80,,Marques Johnson (college),,,98,,78,,,,,,,,,,,
78,,,,North Carolina,79,,,,,94,49,,,67,,William Graves (college),,,,,79,,,,,,,,,,,
79,,,,San Jose State,52,,,,,59,,,,,,Adrian Oliver (college),,81,,,80,,,,,,,,,,,
80,,,,,46,,,,,78,,,,,,Leon Freeman,,78,96,,81,,,,,,,,,,,
81,,,,University of Texas at Austin,86,2010,,,2011,92,64,"B.F. Terry (Rosenberg, TX)",,81,32,Dexter Pittman (college),,,77,,82,2,,,,,,,MIA,2014,,0.4
82,,,,University of Notre Dame,71,2010,,,2011,82,66,"Andrean (Merrillville, IN)",,,52,Luke Harangody (college),,,81,,83,2,,,,,,,BOS,2012,,1.5
83,,,,Memphis,83,,,,,84,,,,,,Doneal Mack (college),,47,89,,84,,,,,,,,,,,
84,,,,Florida International,,,,,,97,38,,,70,,Josue Soto (college),,,,,85,,,,,,,,,,,
85,,,,Virginia Tech,51,,,,,62,94,,,,,Jeff Allen (college),,,,,86,,,,,,,,,,,
86,,,,Rutgers,,,,,,,58,,,,,Jonathan Mitchell (college),,94,58,,87,,,,,,,,,,,
87,,,,Wisconsin,69,,,,,83,,,,,,Trevon Hughes (college),,58,,,88,,,,,,,,,,,
88,,,,California,,,,,,,74,,,72,,Taylor Harrison (college),,,65,,89,,,,,,,,,,,
89,,,,Texas A&M University,99,,,,2012,,59,"Seagoville (Dallas, TX)",,,,Donald Sloan (college),,55,,,90,,,,,,,,,2016,,3.7
90,,,,Pittsburgh,94,,,,,87,,,,,,Gilbert Brown (college),,66,69,,91,,,,,,,,,,,
91,,,,Virginia,,,,,,,71,,,76,,Solomon Tat (college),,,72,,92,,,,,,,,,,,
92,,,,University of Maryland,,2010,,,2011,,,"Montrose Christian School (Rockville, MD)",,74,28,Greivis Vasquez (college),,46,,,93,1,,,,,,,MEM,2017,,16.2
93,,,,Alabama-Birmingham,,,,,,74,,,,,,Jeremy Mayfield (college),,69,80,,94,,,,,,,,,,,
94,,,,Florida,70,,,,,90,98,,,84,,Dan Werner (college),,89,95,,T94,,,,,,,,,,,
95,,,,Tennessee,77,,,,,85,,,,,,Cameron Tatum (college),,64,,,96,,,,,,,,,,,
96,,,,Oregon State,,,,,,,,,,62,,Daniel Deane (college),,,64,,97,,,,,,,,,,,
97,,,,Rutgers University,,2010,,,2011,86,73,"Stoneridge Preparatory School (Simi Valley, CA)",,,56,Hamady N'Diaye (college),,68,,,T97,2,,,,,,,MIN,2014,,0.0
98,,,,West Virginia University,68,,,,,,,,,,,Da'Sean Butler (college),,,60,,99,,,,,,,,,,,
99,,,,Xavier,90,,,,,,76,,,85,,Adrion Graves (college),,,82,,100,,,,,,,,,,,
0,,,,Duke University,1,2007,,,2008,2,2,"Carmel (Carmel, IN)",,3,37,Josh McRoberts (college),,2,,,1,2,,,,,,,POR,2018,,20.7
1,,,,,3,2005,,,2006,3,3,"Lanier (Jackson, MS)",,5,40,Monta Ellis,,3,,,2,2,,,,,,,GSW,2017,,44.5
2,,,,,4,2005,,,2006,6,1,"Seattle Preparatory School (Seattle, WA)",,6,6,Martell Webster,,7,,,3,1,,,,,,,POR,2015,,24.7
3,,,,University of North Carolina,7,2009,,,2010,5,4,"Poplar Bluff (Poplar Bluff, MO)",,2,13,Tyler Hansbrough (college),,10,,,4,1,,,,,,,IND,2016,,20.2
4,,,,,5,2005,,,2006,7,6,"South Gwinnett (Snellville, GA)",,7,45,Louis Williams,,5,,,5,2,,,,,,,PHI,2018,,60.5
5,,,,University of Kansas,8,2007,,,2008,8,7,"Homewood-Flossmoor (Flossmoor, IL)",,8,13,Julian Wright (college),,8,,,6,1,,,,,,,NOK,2011,,3.9
6,,,,University of Alabama,11,,,,,10,9,,,15,,Richard Hendrix (college),,9,,,7,,,,,,,,,,,
7,,,,Louisiana State,12,,,,,17,5,,,11,,Tasmin Mitchell (college),,20,,,8,,,,,,,,,,,
8,,,,University of Kansas,19,2008,,,2009,11,14,"Bartlett (Anchorage, AK)",,9,34,Mario Chalmers (college),,12,,,T8,2,,,,,,,MIN,2018,,36.1
9,,,,,9,2005,,,2006,9,32,"Saint Joseph (Metuchen, NJ)",,10,10,Andrew Bynum,,6,,,10,1,,,,,,,LAL,2014,,37.8
10,,,,,14,,,,,16,10,,,17,,Keith Brumbaugh,,14,,,11,,,,,,,,,,,
11,,,,,10,2005,,,2006,12,27,"Skyline (Dallas, TX)",,14,34,C.J. Miles,,19,,,12,2,,,,,,,UTA,2018,,29.3
12,,,,Duke,18,,,,,20,18,,,18,,Greg Paulus (college),,11,,,13,,,,,,,,,,,
13,,,,,13,2005,,,2006,23,11,"Westchester (Los Angeles, CA)",,16,56,Amir Johnson,,29,,,14,2,,,,,,,DET,2018,,54.2
14,,,,University of North Carolina,24,2009,,,2010,18,13,"St. Mary's (Manhasset, NY)",,19,46,Danny Green (college),,31,,,15,2,,,,,,,CLE,2018,,33.3
15,,,,,2,2005,,,2006,1,,"Gulf Shores Academy (Houston, TX)",,1,18,Gerald Green,,1,,,16,1,,,,,,,BOS,2018,,16.1
16,,,,University of Washington,16,2009,,,2010,15,12,"Snohomish (Snohomish, WA)",,21,38,Jon Brockman (college),,47,,,17,2,,,,,,,POR,2012,,3.7
17,,,,,6,2005,,,2006,4,,"South Kent School (South Kent, CT)",,4,49,Andray Blatche,,4,,,18,2,,,,,,,WAS,2014,,19.2
18,,,,North Carolina State,20,,,,,22,25,,,23,,Brandon Costner (college),,30,,,19,,,,,,,,,,,
19,,,,Oklahoma State,23,,,,,21,37,,,24,,Byron Eaton (college),,17,,,20,,,,,,,,,,,
20,,,,Gonzaga,22,,,,,27,33,,,22,,Micah Downs (college),,28,,,21,,,,,,,,,,,
21,,,,Syracuse,26,,,,,33,15,,,20,,Eric Devendorf (college),,46,,,22,,,,,,,,,,,
22,,,,University of Kansas,15,2008,,,2009,13,,"Mount Zion Christian Academy (Durham, NC)",,13,13,Brandon Rush (college),,13,,,23,1,,,,,,,POR,2017,,11.2
23,,,,Auburn,29,,,,,29,20,,,36,,Korvotney Barber (college),,42,,,24,,,,,,,,,,,
24,,,,Georgia Tech,17,,,,,25,43,,,41,,Lewis Clinch (college),,32,,,25,,,,,,,,,,,
25,,,,Mississippi State,32,,,,,19,49,,,50,,Jamont Gordon (college),,16,,,26,,,,,,,,,,,
26,,,,University of Memphis,25,2006,,,2007,14,,"Laurinburg Institute (Laurinburg, NC)",,12,17,Shawne Williams (college),,15,,,27,1,,,,,,,IND,2015,,8.6
27,,,,Wisconsin,35,,,,,24,40,,,55,,Joe Krabbenhoft (college),,23,,,28,,,,,,,,,,,
28,,,,North Carolina,52,,,,,38,23,,,33,,Marcus Ginyard (college),,38,,,29,,,,,,,,,,,
29,,,,University of Arizona,31,2007,,,2008,28,19,"Roosevelt (Seattle, WA)",,31,33,Marcus Williams (college),,76,,,30,2,,,,,,,SAS,2009,,-0.2
30,,,,North Carolina,41,,,,,34,26,,,34,,Bobby Frasor (college),,51,,,31,,,,,,,,,,,
31,,,,Tennessee,33,,,,,32,57,,,59,,J.P. Prince (college),,21,,,32,,,,,,,,,,,
32,,,,Louisiana Tech University,21,,,,,51,50,,,63,,Magnum Rolle (college),,18,,,33,,,,,,,,,,,
33,,,,University of Notre Dame,28,,,,2013,35,28,"Washington (Washington, IN)",,35,,Luke Zeller (college),,79,,,34,,,,,,,,,2013,,-0.1
34,,,,North Carolina State,30,,,,,30,78,,,44,,Courtney Fells (college),,24,,,35,,,,,,,,,,,
35,,,,Binghamton,70,,,,,37,35,,,28,,Theo Davis (college),,39,,,36,,,,,,,,,,,
36,,,,Marquette,43,,,,,31,45,,,29,,Dominic James (college),,61,,,T36,,,,,,,,,,,
37,,,,South Florida,44,,,,,40,54,,,60,,Mike Mercer (college),,22,,,38,,,,,,,,,,,
38,,,,Arizona,59,,,,,41,55,,,47,,Fendi Onobun (college),,27,,,39,,,,,,,,,,,
39,,,,Arizona State,36,,,,,42,42,,,27,,Eric Boateng (college),,82,,,T39,,,,,,,,,,,
40,,,,University of Memphis,51,2008,,,2009,50,29,"Cass Technical (Detroit, MI)",,30,40,Chris Douglas-Roberts (college),,75,,,41,2,,,,,,,NJN,2015,,5.4
41,,,,Florida State,37,,,,,45,73,,,46,,Uche Echefu (college),,45,,,42,,,,,,,,,,,
42,,,,Massachusetts,85,,,,,52,17,,,39,,Tiki Mayben (college),,57,,,43,,,,,,,,,,,
43,,,,University of Louisville,47,2009,,,2010,26,53,"Rainier Beach (Seattle, WA)",,26,11,Terrence Williams (college),,,,,44,1,,,,,,,NJN,2013,,-0.5
44,,,,Hawaii,46,,,,,36,71,,,79,,Roderick Flemings (college),,26,,,45,,,,,,,,,,,
45,,,,Oklahoma,56,,,,,53,38,,,38,,Ryan Wright (college),,80,,,46,,,,,,,,,,,
46,,,,Tennessee,39,,,,,,23,,,71,,Tyler Smith (college),,34,,,47,,,,,,,,,,,
47,,,,La Salle,38,,,,,47,,,,32,,Vernon Goodridge (college),,52,,,48,,,,,,,,,,,
48,,,,Southern California,27,,,,,,8,,,37,,Davon Jefferson (college),,,,,49,,,,,,,,,,,
49,,,,South Carolina,40,,,,,55,65,,,81,,Devan Downey (college),,36,,,50,,,,,,,,,,,
50,,,,Southern California,89,,,,,57,22,,,54,,Marcus Johnson (college),,59,,,51,,,,,,,,,,,
51,,,,University of Alabama,34,,,,2010,59,61,"William T. Dwyer (Palm Beach Gardens, FL)",,100,,Alonzo Gee (college),,33,,,52,,,,,,,,,2017,,11.9
52,,,,Duke,55,,,,,49,,,,45,,Martynas Pocius (college),,40,,,53,,,,,,,,,,,
53,,,,University of Connecticut,61,,,,2011,39,,"Brewster Academy (Wolfeboro, NH)",,48,,Jeff Adrien (college),,41,,,T53,,,,,,,,,2015,,7.1
54,,,,Baylor,60,,,,,69,63,,,49,,Kevin Rogers (college),,54,,,55,,,,,,,,,,,
55,,,,DePaul University,53,2007,,,2008,54,52,"Benton Harbor (Benton Harbor, MI)",,,23,Wilson Chandler (college),,44,,,56,1,,,,,,,NYK,2018,,30.7
56,,,,Marquette,54,,,,2015,70,36,"Hillcrest (Country Club Hills, IL)",,51,,Jerel McNeal (college),,99,,,57,,,,,,,,,2015,,-0.1
57,,,,Memphis,45,,,,,46,,,,88,,Shawn Taggart (college),,35,,,58,,,,,,,,,,,
58,,,,University of Pittsburgh,57,2009,,,2010,43,,"Hargrave Military Academy (Chatham, VA)",,43,36,Sam Young (college),,71,,,T58,2,,,,,,,MEM,2013,,5.5
59,,,,California,88,,,,,74,30,,,25,,Jamal Boykin (college),,,,,60,,,,,,,,,,,
60,,,,Marquette University,95,,,,2010,56,44,"James Madison Memorial (Madison, WI)",,40,,Wesley Matthews (college),,85,,,61,,,,,,,,,2018,,45.1
61,,,,Fresno State,,,,,,63,31,,,89,,Bryan Harvey (college),,37,,,62,,,,,,,,,,,
62,,,,Florida State,73,,,,,48,46,,,,,Derwin Kitchen (college),,68,,,63,,,,,,,,,,,
63,,,,Louisville,49,,,,,58,67,,,,,Reginald Delk (college),,73,,,64,,,,,,,,,,,
64,,,,Nevada-Las Vegas,76,,,,,72,,,,75,,Wink Adams (college),,25,,,65,,,,,,,,,,,
65,,,,Oklahoma State University,94,,,,2012,61,59,"South Garland (Garland, TX)",,74,,Terrel Harris (college),,64,,,66,,,,,,,,,2013,,-1.2
66,,,,Missouri,64,,,,,44,,,,42,,Leo Lyons (college),,,,,T66,,,,,,,,,,,
67,,,,University of Memphis,42,,,,2010,68,,"Laurinburg Institute (Laurinburg, NC)",,85,,Antonio Anderson (college),,56,,,T66,,,,,,,,,2010,,-0.0
68,,,,San Francisco,,,,,,71,47,,,67,,Dior Lowhorn (college),,67,,,69,,,,,,,,,,,
69,,,,Miami (FL),65,,,,,65,87,,,80,,Brian Asbury (college),,65,,,70,,,,,,,,,,,
70,,,,Pittsburgh,99,,,,,67,58,,,62,,Tyrell Biggs (college),,78,,,71,,,,,,,,,,,
71,,,,Kent State,96,,,,,60,,,,52,,Tyree Evans (college),,60,,,72,,,,,,,,,,,
72,,,,,,,,,,66,80,,,66,,Ricky Sanchez,,62,,,73,,,,,,,,,,,
73,,,,Wake Forest,,,,,,73,39,,,61,,David Weaver (college),,,,,T73,,,,,,,,,,,
74,,,,,,,,,,,16,,,58,,Danny Williams,,,,,75,,,,,,,,,,,
75,,,,Louisville,,,,,,,34,,,53,,Andre McGee (college),,,,,76,,,,,,,,,,,
76,,,,Wake Forest,48,,,,,79,91,,,83,,Kevin Swinton (college),,89,,,T76,,,,,,,,,,,
77,,,,Kent State,,,,,,,41,,,,,Rashad Woods (college),,48,,,78,,,,,,,,,,,
78,,,,Georgia Tech,50,,,,,89,,"Stephenson (Stone Mountain, GA)",,57,,Alade Aminu (college),,,,,79,,,,,,,,,,,
79,,,,College of Charleston,78,,,,,64,,,,,,Casaan Breeden (college),,55,,,80,,,,,,,,,,,
80,,,,Texas A&M,,,,,,,21,,,84,,Martellus Bennett (college),,,,,81,,,,,,,,,,,
81,,,,UCLA,,,,,,84,62,,,78,,Alfred Aboya (college),,83,,,T81,,,,,,,,,,,
82,,,,Texas,,,,,,75,48,,,86,,A.J. Abrams (college),,,,,83,,,,,,,,,,,
83,,,,Gonzaga University,,,,,2012,62,84,"Paul Robeson (Chicago, IL)",,65,,Jeremy Pargo (college),,,,,84,,,,,,,,,2013,,-0.8
84,,,,Miami (FL),69,,,,,80,95,,,92,,Cyrus McGowan (college),,77,,,T84,,,,,,,,,,,
85,,,,Southern Mississippi,,,,,,,79,,,,,Gary Flowers (college),,43,,,86,,,,,,,,,,,
86,,,,Central Michigan,,,,,,,60,,,64,,Nate Minnoy (college),,,,,87,,,,,,,,,,,
87,,,,Rutgers,77,,,,,83,85,,,,,JR Inman (college),,81,,,T87,,,,,,,,,,,
88,,,,Clemson,,,,,,,56,,,70,,K.C. Rivers (college),,,,,89,,,,,,,,,,,
89,,,,Louisiana State,82,,,,,91,98,,,,,Terry Martin (college),,58,,,90,,,,,,,,,,,
90,,,,Louisiana Tech,81,,,,,76,,,,,,Kenneth Cooper (college),,72,,,91,,,,,,,,,,,
91,,,,Stanford,,,,,,82,70,,,82,,Lawrence Hill (college),,97,,,92,,,,,,,,,,,
92,,,,Pittsburgh,75,,,,,88,81,,,,,Levance Fields (college),,88,,,93,,,,,,,,,,,
93,,,,Miami (FL),,,,,,81,82,,,68,,Adrian Thomas (college),,,,,T93,,,,,,,,,,,
94,,,,Kansas State,66,,,,,,96,,,72,,Denis Clemente (college),,,,,95,,,,,,,,,,,
95,,,,Oklahoma,,,,,,,86,,,,,Austin Johnson (college),,53,,,96,,,,,,,,,,,
96,,,,Notre Dame,,,,,,96,75,,,,,Ryan Ayers (college),,70,,,97,,,,,,,,,,,
97,,,,"University of California, Los Angeles",67,2009,,,2010,78,,"Etiwanda (Rancho Cucamonga, CA)",,,21,Darren Collison (college),,100,,,98,1,,,,,,,NOH,2018,,43.1
98,,,,Kentucky,68,,,,,77,,,,,,Jared Carter (college),,,,,99,,,,,,,,,,,
99,,,,Michigan,71,,,,,98,83,,,95,,Kendric Price (college),,,,,T99,,,,,,,,,,,
0,,,,,1,2004,,,2005,,1,"Southwest Atlanta Christian Academy (Atlanta, GA)",,1,1,Dwight Howard,,1,,,1,1,,,,,,,ORL,2018,1,128.3
1,,,,,2,2004,,,2005,,3,"Peoria Central (Peoria, IL)",,2,4,Shaun Livingston,,2,,,2,1,,,,,,,LAC,2018,2,32.0
2,,,,,3,2004,,,2005,,6,"Prentiss (Prentiss, MS)",,3,15,Al Jefferson,,4,,,3,1,,,,,,,BOS,2018,4,71.0
3,,,,,5,2004,,,2005,,4,"Oak Hill Academy (Mouth of Wilson, VA)",,8,17,Josh Smith,,3,,,4,1,,,,,,,ATL,2018,3,53.3
4,,,,University of Connecticut,4,2006,,,2007,,8,"Archbishop Spalding (Severn, MD)",,4,8,Rudy Gay (college),,5,,,5,1,,,,,,,HOU,2018,10,59.3
5,,,,,9,2004,,,2005,,5,"Abraham Lincoln (Brooklyn, NY)",,7,13,Sebastian Telfair,,6,,,6,1,,,,,,,POR,2015,7,6.1
6,,,,University of North Carolina,7,2005,,,2006,,7,"Bremerton (Bremerton, WA)",,5,2,Marvin Williams (college),,11,,,7,1,,,,,,,ATL,2018,5,58.9
7,,,,,6,2004,,,2005,,9,"Bakersfield (Bakersfield, CA)",,9,12,Robert Swift,,14,,,8,1,,,,,,,SEA,2009,11,1.7
8,,,,University of Oregon,10,2008,,,2009,,11,"Renaissance (Detroit, MI)",,13,48,Malik Hairston (college),,7,,,9,2,,,,,,,PHO,2010,13,0.8
9,,,,University of Kentucky,8,,,,2007,,17,"Landmark Christian School (Fairburn, GA)",,12,,Randolph Morris (college),,10,,,10,,,,,,,,,2010,14,-0.1
10,,,,Louisiana State University,16,2007,,,2008,,12,"Louisiana State University Laboratory School (Baton Rouge, LA)",,17,35,Glen Davis (college),,13,,,11,2,,,,,,,SEA,2015,8,20.6
11,,,,University of Texas at Austin,12,2006,,,2007,,25,"Seagoville (Seagoville, TX)",,6,2,LaMarcus Aldridge (college),,16,,,12,1,,,,,,,CHI,2018,9,97.6
12,,,,Indiana University,14,2008,,,2009,,18,"Hillcrest (Tuscaloosa, AL)",,15,29,D.J. White (college),,15,,,13,1,,,,,,,DET,2014,19,5.6
13,,,,University of Kentucky,13,2008,,,2009,,19,"Renaissance (Detroit, MI)",,25,58,Joe Crawford (college),,9,,,14,2,,,,,,,LAL,2009,17,0.0
14,,,,University of Memphis,23,,,,2008,,13,"Edgewater (Orlando, FL)",,16,,Darius Washington (college),,23,,,15,,,,,,,,,2008,22,0.0
15,,,,Louisville,22,,,,,,10,,,19,,Juan Palacios (college),,30,,,16,,,,,,,,,,18,
16,,,,Arizona,18,,,,,,20,,,23,,Jawann McClellan (college),,18,,,17,,,,,,,,,,21,
17,,,,Duke University,30,,,,2009,,21,"Sheldon (Sacramento, CA)",,11,,DeMarcus Nelson (college),,17,,,18,,,,,,,,,2009,25,-0.3
18,,,,University of Texas at Austin,17,2006,,,2007,,14,"Jones (Houston, TX)",,21,42,Daniel Gibson (college),,29,,,19,2,,,,,,,CLE,2013,24,16.0
19,,,,"University of California, Los Angeles",25,2006,,,2007,,23,"Taft (Woodland Hills, CA)",,22,26,Jordan Farmar (college),,22,,,20,1,,,,,,,LAL,2017,15,13.9
20,,,,University of Kentucky,15,2006,,,2007,,31,"Oak Hill Academy (Mouth of Wilson, VA)",,24,21,Rajon Rondo (college),,25,,,21,1,,,,,,,PHO,2018,16,58.6
21,,,,Cincinnati,26,,,,,,15,,,28,,Mike Williams (college),,20,,,22,,,,,,,,,,23,
22,,,,,11,2004,,,2005,,,"Saint Benedict's Preparatory School (Newark, NJ)",,10,18,J.R. Smith,,8,,,23,1,,,,,,,NOH,2018,6,50.2
23,,,,University of Connecticut,27,2009,,,2010,,16,"Amityville Memorial (Amityville, NY)",,32,52,A.J. Price (college),,32,,,24,2,,,,,,,IND,2015,41,5.0
24,,,,University of Florida,19,2007,,,2008,,29,"Portland (Portland, TN)",,33,7,Corey Brewer (college),,31,,,25,1,,,,,,,MIN,2018,37,29.2
25,,,,"University of California, Los Angeles",41,2007,,,2008,,24,"Centennial (Compton, CA)",,46,27,Arron Afflalo (college),,26,,,26,1,,,,,,,DET,2018,20,36.1
26,,,,Florida State,39,,,,,,34,,,38,,Jason Rich (college),,33,,,27,,,,,,,,,,26,
27,,,,Michigan State,38,,,,,,50,,,34,,Marquise Gray (college),,21,,,28,,,,,,,,,,38,
28,,,,Villanova University,37,2006,,,2007,,30,"Cardinal Dougherty (Philadelphia, PA)",,47,24,Kyle Lowry (college),,28,,,29,1,,,,,,,MEM,2018,40,83.6
29,,,,University of Alabama at Birmingham,47,,,,,,26,,,29,,Robert Vaden (college),,38,,,30,,,,,,,,,,45,
30,,,,Kansas,32,,,,,,43,,,51,,Russell Robinson (college),,27,,,31,,,,,,,,,,34,
31,,,,Delaware State,33,,,,,,36,,,18,,Roy Bright (college),,58,,,32,,,,,,,,,,43,
32,,,,University of Southern California,29,2007,,,2008,,22,"Westchester (Los Angeles, CA)",,59,32,Gabe Pruitt (college),,46,,,33,2,,,,,,,BOS,2009,39,0.4
33,,,,North Carolina State University,24,2006,,,2007,,39,"West Brunswick (Shallotte, NC)",,30,15,Cedric Simmons (college),,71,,,34,1,,,,,,,NOK,2009,35,-0.1
34,,,,University of Memphis,21,2006,,,2007,,32,"Laurinburg Institute (Laurinburg, NC)",,26,17,Shawne Williams (college),,19,,,T34,1,,,,,,,IND,2015,,8.6
35,,,,Syracuse,52,,,,,,28,,,64,,Josh Wright (college),,40,,,36,,,,,,,,,,44,
36,,,,University of Wisconsin,31,,,,2012,,41,"Randolph (Randolph, WI)",,42,,Greg Stiemsma (college),,45,,,37,,,,,,,,,2015,70,6.0
37,,,,Alabama,48,,,,,,61,,,69,,Ronald Steele (college),,24,,,38,,,,,,,,,,30,
38,,,,Oregon,77,,,,,,38,,,31,,Bryce Taylor (college),,50,,,39,,,,,,,,,,42,
39,,,,Mississippi State,46,,,,,,35,,,52,,Brian Johnson (college),,41,,,40,,,,,,,,,,66,
40,,,,Florida State,36,,,,,,,,,36,,Isaiah Swann (college),,35,,,T40,,,,,,,,,,32,
41,,,,,,2004,,,2005,,,"Leuzinger (Lawndale, CA)",,14,19,Dorell Wright,,12,,,T40,1,,,,,,,MIA,2015,12,25.9
42,,,,University of Kansas,28,,,,,,58,,,44,,Sasha Kaun (college),,34,,,43,,,,,,,,,,80,
43,,,,University of Arkansas,43,,,,2009,,53,"Branson (Branson, MO)",,67,,Steven Hill (college),,37,,,44,,,,,,,,,2009,46,0.0
44,,,,Missouri,51,,,,,,37,,,53,,Jason Horton (college),,59,,,45,,,,,,,,,,53,
45,,,,University of Virginia,35,2008,,,2009,,,"William Penn Charter School (Philadelphia, PA)",,35,42,Sean Singletary (college),,56,,,46,2,,,,,,,SAC,2009,27,0.1
46,,,,Missouri,54,,,,,,44,,,48,,Marshall Brown (college),,42,,,47,,,,,,,,,,67,
47,,,,University of Florida,56,2007,,,2008,,48,"Grand Ledge (Grand Ledge, MI)",,68,3,Al Horford (college),,36,,,T47,1,,,,,,,ATL,2018,47,78.3
48,,,,Houston,53,,,,,,40,,,72,,Dion Dowell (college),,48,,,49,,,,,,,,,,54,
49,,,,University of Maryland,60,,,,,,65,,,41,,James Gist (college),,53,,,T49,,,,,,,,,,48,
